11/08/2020 18:41:38 MainProcess     MainThread      logger          log_setup                 INFO     Log level set to: INFO
11/08/2020 18:41:39 MainProcess     MainThread      extract         __init__                  INFO     Output Directory: D:\programacion\para bego\Navidad bego\data\extract data\Harry potter
11/08/2020 18:41:40 MainProcess     MainThread      plugin_loader   _import                   INFO     Loading Detect from S3Fd plugin...
11/08/2020 18:41:40 MainProcess     MainThread      plugin_loader   _import                   INFO     Loading Align from Fan plugin...
11/08/2020 18:41:40 MainProcess     MainThread      plugin_loader   _import                   INFO     Loading Mask from Components plugin...
11/08/2020 18:41:40 MainProcess     MainThread      plugin_loader   _import                   INFO     Loading Mask from Extended plugin...
11/08/2020 18:41:40 MainProcess     MainThread      pipeline        _set_parallel_processing  WARNING  Not enough free VRAM for parallel processing. Switching to serial
11/08/2020 18:41:40 MainProcess     MainThread      pipeline        _set_plugin_batchsize     INFO     Reset batch sizes due to available VRAM: Detect: 1
11/08/2020 18:41:40 MainProcess     MainThread      extract         process                   INFO     Starting, this may take a while...
11/08/2020 18:41:40 MainProcess     MainThread      _base           initialize                INFO     Initializing S3FD (Detect)...
11/08/2020 18:41:41 MainProcess     MainThread      _base           initialize                INFO     Initialized S3FD (Detect) with batchsize of 1
